study,species,year,site,latitude,longitude,elevation,spring_start,ss_se,spring_comp,sc_se,fall_start,fs_se,fall_comp,fc_se
1,Lepus americanus,2010,Gardiner,45.08,-110.57,2550,,,,,275,2.551020408,311,2.551020408
1,Lepus americanus,2011,Gardiner,45.08,-110.57,2550,134,2.040816327,185,2.040816327,269,2.040816327,310,2.040816327
1,Lepus americanus,2012,Gardiner,45.08,-110.57,2550,124,2.551020408,167,2.295918367,,,,
2,Lepus americanus,2011,Canada,51.38,-120.15,1850.98,,,,,287,3.316326531,318,3.316326531
2,Lepus americanus,2012,Canada,51.38,-120.15,1850.98,102,4.336734694,156,3.06122449,284,2.806122449,317,4.081632653
2,Lepus americanus,2013,Canada,51.38,-120.15,1850.98,97,4.591836735,143,3.316326531,286,2.806122449,315,2.806122449
2,Lepus americanus,2014,Canada,51.38,-120.15,1850.98,103,3.316326531,148,2.295918367,288,2.295918367,318,3.06122449
2,Lepus americanus,2015,Canada,51.38,-120.15,1850.98,90,3.06122449,136,3.06122449,283,2.551020408,316,3.06122449
2,Lepus americanus,2016,Canada,51.38,-120.15,1850.98,92,3.826530612,128,3.316326531,291,4.591836735,,
2,Lepus americanus,2010,Colorado,37.63,-107.45,3200,,,,,277,3.316326531,321,3.826530612
2,Lepus americanus,2011,Colorado,37.63,-107.45,3200,110,1.275510204,152,2.295918367,,,,
2,Lepus americanus,2014,Colorado,37.63,-107.45,3200,,,,,287,3.571428571,325,3.571428571
2,Lepus americanus,2015,Colorado,37.63,-107.45,3200,108,2.040816327,148,3.06122449,289,4.846938776,324,3.571428571
2,Lepus americanus,2016,Colorado,37.63,-107.45,3200,111,1.275510204,156,2.806122449,,,,
2,Lepus americanus,2017,Colorado,37.63,-107.45,3200,107,1.785714286,154,2.551020408,,,,
2,Lepus americanus,2014,New England,44.54,-70.82,627.18,87,2.040816327,138,2.806122449,297,4.336734694,342,4.081632653
2,Lepus americanus,2015,New England,44.54,-70.82,627.18,93,2.806122449,137,2.040816327,302,4.336734694,351,3.571428571
2,Lepus americanus,2016,New England,44.54,-70.82,627.18,77,2.551020408,126,2.295918367,306,3.316326531,348,1.530612245
2,Lepus americanus,2017,New England,44.54,-70.82,627.18,79,2.295918367,135,2.040816327,301,4.846938776,345,3.06122449
3,Lepus americanus,2019,Isle Royal,47.122,-88,278,78,12.5,109,1.785714286,293,1.275510204,332,1.785714286
3,Lepus americanus,2019,Red cliff,46.881,-90,198,67,1.020408163,105,1.785714286,293,6.37755102,340,1.275510204
3,Lepus americanus,2019,Mellen,46.357,-90,381,69,0.765306122,102,1.020408163,274,0.510204082,342,1.275510204
3,Lepus americanus,2019,Medford,45.199,-90,450,66,0.510204082,100,1.020408163,294,6.887755102,339,1.020408163
4,Lepus americanus,2009,Morrel creek,47.23,-113,1400,,,,,286,5.357142857,325,3.571428571
4,Lepus americanus,2010,Morrel creek,47.23,-113,1400,98,3.06122449,130,4.081632653,281,2.040816327,319,1.785714286
4,Lepus americanus,2011,Morrel creek,47.23,-113,1400,102,1.530612245,146,1.020408163,280,1.275510204,324,1.275510204
4,Lepus americanus,2012,Morrel creek,47.23,-113,1400,96,1.530612245,139,1.785714286,,,,
5,Lepus timidus,2010,Scotland,57.235,-4,640,78,5.612244898,136,5.867346939,294,5.357142857,346,4.336734694
6,Lepus americanus,2013,Chamberlain,46.96,-113.24,1450,,,,,285,2.040816327,324,1.785714286
6,Lepus americanus,2014,Chamberlain,46.96,-113.24,1450,102,5.357142857,140,5.102040816,,,,
6,Lepus americanus,2013,Marcum,46.99,-112.91,1700,88,2.806122449,137,2.551020408,286,1.530612245,321,1.530612245
6,Lepus americanus,2014,Marcum,46.99,-112.91,1700,107,2.040816327,146,2.040816327,,,,
7,Lepus timidus,2011,Norway,64,8,500,74,17.34693878,124,16.58163265,292,7.397959184,330,6.632653061
7,Lepus timidus,2012,Norway,64,8,500,75,4.081632653,135,5.612244898,278,6.37755102,329,3.826530612
7,Lepus timidus,2013,Norway,64,8,500,101,4.336734694,165,4.591836735,262,13.7755102,334,8.163265306
7,Lepus timidus,2014,Norway,64,8,500,88,2.040816327,142,3.571428571,266,6.632653061,326,4.336734694
7,Lepus timidus,2015,Norway,64,8,500,90,2.551020408,141,1.785714286,273,5.867346939,326,29.08163265
7,Lepus timidus,2016,Norway,64,8,500,92,1.275510204,143,3.06122449,284,2.806122449,332,2.040816327
7,Lepus timidus,2017,Norway,64,8,500,84,1.275510204,136,1.275510204,278,2.806122449,331,1.020408163
7,Lepus timidus,2018,Norway,64,8,500,100,0.765306122,150,1.020408163,281,2.551020408,332,1.530612245
7,Lepus timidus,2019,Norway,64,8,500,96,0.510204082,142,1.530612245,,,,
