Publication.Type,Authors,Author Full Names,Title,Source Title,Keywords,Keywords Plus,Abstract,Publication.Date,Publication.Year,Volume,Issue,Start Page,End Page,Article Number,DOI,DOI Link,Early Access Date,Web of Science Record
J,"Zimova, M; Mills, LS; Lukacs, PM; Mitchell, MS","Zimova, Marketa; Mills, L. Scott; Lukacs, Paul M.; Mitchell, Michael S.",Snowshoe hares display limited phenotypic plasticity to mismatch in seasonal camouflage,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,camouflage mismatch; crypsis; phenology; phenotypic plasticity; climate change; snowshoe hare,RECENT CLIMATE-CHANGE; LEPUS-AMERICANUS; PELAGE COLOR; HABITAT USE; RESPONSES; EVOLUTION; POPULATION; DYNAMICS; RISK,"As duration of snow cover decreases owing to climate change, species undergoing seasonal colour moults can become colour mismatched with their background. The immediate adaptive solution to this mismatch is phenotypic plasticity, either in phenology of seasonal colour moults or in behaviours that reduce mismatch or its consequences. We observed nearly 200 snowshoe hares across a wide range of snow conditions and two study sites in Montana, USA, and found minimal plasticity in response to mismatch between coat colour and background. We found that moult phenology varied between studysites, likely due to differences in photoperiod and climate, but was largely fixed within study sites with only minimal plasticity to snow conditions during the spring white-to-brown moult. We also found no evidence that hares modify their behaviour in response to colour mismatch. Hiding and fleeing behaviours and resting spot preference of hares were more affected by variables related to season, site and concealment by vegetation, than by colour mismatch. We conclude that plasticity in moult phenology and behaviours in snowshoe hares is insufficient for adaptation to camouflage mismatch, suggesting that any future adaptation to climate change will require natural selection on moult phenology or behaviour.",MAY 7,2014,281,1782,,,20140029,10.1098/rspb.2014.0029,http://dx.doi.org/10.1098/rspb.2014.0029,,View Full Record in Web of Science
J,"Zimova, M; Sirén, APK; Nowak, JJ; Bryan, AM; Ivan, JS; Morelli, TL; Suhrer, SL; Whittington, J; Mills, LS","Zimova, Marketa; Siren, Alexej P. K.; Nowak, Joshua J.; Bryan, Alexander M.; Ivan, Jacob S.; Morelli, Toni Lyn; Suhrer, Skyler L.; Whittington, Jesse; Mills, L. Scott",Local climate determines vulnerability to camouflage mismatch in snowshoe hares,GLOBAL ECOLOGY AND BIOGEOGRAPHY,adaptation; camouflage mismatch; climate change; latitudinal gradient; phenological mismatch; phenotypic plasticity; range edge; snow; snowshoe hares,PHENOLOGY; EVOLUTIONARY; POPULATIONS; RESPONSES; FITNESS; COLOR; EXTREMES; SNOWFALL; DRIVES,"Aim Phenological mismatches, when life-events become mistimed with optimal environmental conditions, have become increasingly common under climate change. Population-level susceptibility to mismatches depends on how phenology and phenotypic plasticity vary across a species' distributional range. Here, we quantify the environmental drivers of colour moult phenology, phenotypic plasticity, and the extent of phenological mismatch in seasonal camouflage to assess vulnerability to mismatch in a common North American mammal. Location North America. Time period 2010-2017. Major taxa studied Snowshoe hare (Lepus americanus). Methods We used > 5,500 by-catch photographs of snowshoe hares from 448 remote camera trap sites at three independent study areas. To quantify moult phenology and phenotypic plasticity, we used multinomial logistic regression models that incorporated geospatial and high-resolution climate data. We estimated occurrence of camouflage mismatch between hares' coat colour and the presence and absence of snow over 7 years of monitoring. Results Spatial and temporal variation in moult phenology depended on local climate conditions more so than on latitude. First, hares in colder, snowier areas moulted earlier in the fall and later in the spring. Next, hares exhibited phenotypic plasticity in moult phenology in response to annual variation in temperature and snow duration, especially in the spring. Finally, the occurrence of camouflage mismatch varied in space and time; white hares on dark, snowless background occurred primarily during low-snow years in regions characterized by shallow, short-lasting snowpack. Main conclusions Long-term climate and annual variation in snow and temperature determine coat colour moult phenology in snowshoe hares. In most areas, climate change leads to shorter snow seasons, but the occurrence of camouflage mismatch varies across the species' range. Our results underscore the population-specific susceptibility to climate change-induced stressors and the necessity to understand this variation to prioritize the populations most vulnerable under global environmental change.",MAR,2020,29,3,503,515,,10.1111/geb.13049,http://dx.doi.org/10.1111/geb.13049,DEC 2019,View Full Record in Web of Science
J,"Zimova, M; Hackländer, K; Good, JM; Melo-Ferreira, J; Alves, PC; Mills, LS","Zimova, Marketa; Hacklaender, Klaus; Good, Jeffrey M.; Melo-Ferreira, Jose; Alves, Paulo Celio; Mills, L. Scott",Function and underlying mechanisms of seasonal colour moulting in mammals and birds: what keeps them changing in a warming world?,BIOLOGICAL REVIEWS,coat colour moult; seasonal adaptation; camouflage mismatch; climate change; phenotypic mismatch; hare; arctic fox; weasel; Siberian hamster; ptarmigan,FOX ALOPEX-LAGOPUS; HARES LEPUS-TIMIDUS; LEMMINGS DICROSTONYX-GROENLANDICUS; PHODOPUS-SUNGORUS PALLAS; WEASEL MUSTELA-NIVALIS; PELAGE COLOR; DJUNGARIAN HAMSTER; WILLOW PTARMIGAN; COAT COLOR; COLLARED LEMMINGS,"Animals that occupy temperate and polar regions have specialized traits that help them survive in harsh, highly seasonal environments. One particularly important adaptation is seasonal coat colour (SCC) moulting. Over 20 species of birds and mammals distributed across the northern hemisphere undergo complete, biannual colour change from brown in the summer to completely white in the winter. But as climate change decreases duration of snow cover, seasonally winter white species (including the snowshoe hare Lepus americanus, Arctic fox Vulpes lagopus and willow ptarmigan Lagopus lagopus) become highly contrasted against dark snowless backgrounds. The negative consequences of camouflage mismatch and adaptive potential is of high interest for conservation. Here we provide the first comprehensive review across birds and mammals of the adaptive value and mechanisms underpinning SCC moulting. We found that across species, the main function of SCC moults is seasonal camouflage against snow, and photoperiod is the main driver of the moult phenology. Next, although many underlying mechanisms remain unclear, mammalian species share similarities in some aspects of hair growth, neuroendocrine control, and the effects of intrinsic and extrinsic factors on moult phenology. The underlying basis of SCC moults in birds is less understood and differs from mammals in several aspects. Lastly, our synthesis suggests that due to limited plasticity in SCC moulting, evolutionary adaptation will be necessary to mediate future camouflage mismatch and a detailed understanding of the SCC moulting will be needed to manage populations effectively under climate change.",AUG,2018,93,3,1478,1498,,10.1111/brv.12405,http://dx.doi.org/10.1111/brv.12405,,View Full Record in Web of Science
J,"Peltier, TR; Shiratsuru, S; Zuckerberg, B; Romanski, M; Potvin, L; Edwards, A; Gilbert, JH; Aldred, TR; Dassow, A; Pauli, JN","Peltier, Taylor R.; Shiratsuru, Shotaro; Zuckerberg, Benjamin; Romanski, Mark; Potvin, Lynette; Edwards, Andrew; Gilbert, Jonathan H.; Aldred, Tanya R.; Dassow, Ann; Pauli, Jonathan N.",Phenotypic variation in the molt characteristics of a seasonal coat color-changing species reveals limited resilience to climate change,OECOLOGIA,Adaptation; Molt; Phenological mismatch; Range edge; Snowshoe hare,SNOWSHOE HARE; CAMOUFLAGE MISMATCH; RANGE SHIFTS; POPULATION; FUTURE; DIVERSITY; MOVEMENTS; PHENOLOGY; RESPONSES; RESCUE,"The snowshoe hare (Lepus americanus) possesses a broad suite of adaptations to winter, including a seasonal coat color molt. Recently, climate change has been implicated in the range contraction of snowshoe hares along the southern range boundary. With shortening snow season duration, snowshoe hares are experiencing increased camouflage mismatch with their environment reducing survival. Phenological variation of hare molt at regional scales could facilitate local adaptation in the face of climate change, but the level of variation, especially along the southern range boundary, is unknown. Using a network of trail cameras and historical museum specimens, we (1) developed contemporary and historical molt phenology curves in the Upper Great Lakes region, USA, (2) calculated molt rate and variability in and among populations, and (3) quantified the relationship of molt characteristics to environmental conditions for snowshoe hares across North America. We found that snowshoe hares across the region exhibited similar fall and spring molt phenologies, rates and variation. Yet, an insular island population of hares on Isle Royale National Park, MI, completed their molt a week earlier in the fall and initiated molt almost 2 weeks later in the spring as well as exhibited slower rates of molting in the fall season compared to the mainland. Over the last 100 years, snowshoe hares across the region have not shifted in fall molt timing; though contemporary spring molt appears to have advanced by 17 days (similar to 4 days per decade) compared to historical molt phenology. Our research indicates that some variation in molt phenology exists for snowshoe hares in the Upper Great Lakes region, but whether this variation is enough to offset the consequences of climate change remains to be seen.",MAY,2023,202,1,69,82,,10.1007/s00442-023-05371-4,http://dx.doi.org/10.1007/s00442-023-05371-4,MAY 2023,View Full Record in Web of Science
J,"Zimova, M; Mills, LS; Nowak, JJ","Zimova, Marketa; Mills, L. Scott; Nowak, J. Joshua",High fitness costs of climate change-induced camouflage mismatch,ECOLOGY LETTERS,Camouflage; climate change; evolutionary adaptation; evolutionary rescue; fitness; molt phenology; natural selection; phenological mismatch; snow cover; snowshoe hare,ADAPTIVE SIGNIFICANCE; EVOLUTIONARY; EXTINCTION; COLORATION; PLASTICITY; PHENOLOGY; ANIMALS; TRAITS; RATES,"Anthropogenic climate change has created myriad stressors that threaten to cause local extinctions if wild populations fail to adapt to novel conditions. We studied individual and population-level fitness costs of a climate change-induced stressor: camouflage mismatch in seasonally colour molting species confronting decreasing snow cover duration. Based on field measurements of radiocollared snowshoe hares, we found strong selection on coat colour molt phenology, such that animals mismatched with the colour of their background experienced weekly survival decreases up to 7%. In the absence of adaptive response, we show that these mortality costs would result in strong population-level declines by the end of the century. However, natural selection acting on wide individual variation in molt phenology might enable evolutionary adaptation to camouflage mismatch. We conclude that evolutionary rescue will be critical for hares and other colour molting species to keep up with climate change.",MAR,2016,19,3,299,307,,10.1111/ele.12568,http://dx.doi.org/10.1111/ele.12568,,View Full Record in Web of Science
J,"Mills, LS; Zimova, M; Oyler, J; Running, S; Abatzoglou, JT; Lukacs, PM","Mills, L. Scott; Zimova, Marketa; Oyler, Jared; Running, Steven; Abatzoglou, John T.; Lukacs, Paul M.",Camouflage mismatch in seasonal coat color due to decreased snow duration,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,phenotypic plasticity; snow downscaling; rhythm; phenological mismatch; threshold trait,CLIMATE-CHANGE; HARE; POPULATION; PHENOLOGY; BIRD; PREDATION; RESPONSES; DYNAMICS; HABITAT; TERRAIN,"Most examples of seasonal mismatches in phenology span multiple trophic levels, with timing of animal reproduction, hibernation, or migration becoming detached from peak food supply. The consequences of such mismatches are difficult to link to specific future climate change scenarios because the responses across trophic levels have complex underlying climate drivers often confounded by other stressors. In contrast, seasonal coat color polyphenism creating camouflage against snow is a direct and potentially severe type of seasonal mismatch if crypsis becomes compromised by the animal being white when snow is absent. It is unknown whether plasticity in the initiation or rate of coat color change will be able to reduce mismatch between the seasonal coat color and an increasingly snow-free background. We find that natural populations of snowshoe hares exposed to 3 y of widely varying snowpack have plasticity in the rate of the spring white-to-brown molt, but not in either the initiation dates of color change or the rate of the fall brown-to-white molt. Using an ensemble of locally downscaled climate projections, we also show that annual average duration of snowpack is forecast to decrease by 29-35 d by midcentury and 40-69 d by the end of the century. Without evolution in coat color phenology, the reduced snow duration will increase the number of days that white hares will be mismatched on a snowless background by four-to eightfold by the end of the century. This novel and visually compelling climate change-induced stressor likely applies to >9 widely distributed mammals with seasonal coat color.",APR 30,2013,110,18,7360,7365,,10.1073/pnas.1222724110,http://dx.doi.org/10.1073/pnas.1222724110,,View Full Record in Web of Science
J,"Zimova, M; Giery, ST; Newey, S; Nowak, JJ; Spencer, M; Mills, LS","Zimova, Marketa; Giery, Sean T.; Newey, Scott; Nowak, J. Joshua; Spencer, Michael; Mills, L. Scott",Lack of phenological shift leads to increased camouflage mismatch in mountain hares,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,adaptation; climate change; historical resurvey; phenological mismatch; phenotypic plasticity; snow,LEPUS-TIMIDUS-SCOTICUS; SEASONAL COAT COLOR; CLIMATE-CHANGE; RED GROUSE; EVOLUTIONARY RESCUE; GREAT-BRITAIN; SELECTION; EXPANSION; IMPACTS; ARRIVAL,"Understanding whether organisms will be able to adapt to human-induced stressors currently endangering their existence is an urgent priority. Globally, multiple species moult from a dark summer to white winter coat to maintain camouflage against snowy landscapes. Decreasing snow cover duration owing to climate change is increasing mismatch in seasonal camouflage. To directly test for adaptive responses to recent changes in snow cover, we repeated historical (1950s) field studies of moult phenology in mountain hares (Lepus timidus) in Scotland. We found little evidence that population moult phenology has shifted to align seasonal coat colour with shorter snow seasons, or that phenotypic plasticity prevented increases in camouflage mismatch. The lack of responses resulted in 35 additional days of mismatch between 1950 and 2016. We emphasize the potential role of weak directional selection pressure and low genetic variability in shaping the scope for adaptive responses to anthropogenic stressors.",DEC 23,2020,287,1941,,,20201786,10.1098/rspb.2020.1786,http://dx.doi.org/10.1098/rspb.2020.1786,,View Full Record in Web of Science
J,"Kumar, AV; Zimova, M; Sparks, JR; Mills, LS","Kumar, Alexander, V; Zimova, Marketa; Sparks, James R.; Mills, L. Scott",Snow-mediated plasticity does not prevent camouflage mismatch,OECOLOGIA,Adaptive rescue; Phenotypic plasticity; Behavioral plasticity; Climate change; Molt phenology,LEPUS-TIMIDUS-SCOTICUS; CLIMATE-CHANGE; HABITAT USE; HARES; POPULATION; COLOR; TEMPERATURE; AMERICANUS; PELAGE; MECHANISMS,"Global reduction in snow cover duration is one of the most consistent and widespread climate change outcomes. Declining snow duration has severe negative consequences for diverse taxa including seasonally color molting species, which rely on snow for camouflage. However, phenotypic plasticity may facilitate adaptation to reduced snow duration. Plastic responses could occur in the color molt phenology or through behavior that minimizes coat color mismatch or its consequences. We quantified molt phenology of 200 wild snowshoe hares (Lepus americanus), and measured microhabitat choice and local snow cover. Similar to other studies, we found that hares did not show behavioral plasticity to minimize coat color mismatch via background matching; instead they preferred colder, snow free areas regardless of their coat color. Furthermore, hares did not behaviorally mitigate the negative consequences of mismatch by choosing resting sites with denser vegetation cover when mismatched. Importantly, we demonstrated plasticity in the initiation and the rate of the molt and established the direct effect of snow on molt phenology; greater snow cover was associated with whiter hares and this association was not due to whiter hares preferring snowier areas. However, despite the observed snow-mediated plasticity in molt phenology, camouflage mismatch with white hares on brown snowless ground persisted and was more frequent during early snowmelt. Thus, we find no evidence that phenotypic plasticity in snowshoe hares is sufficient to facilitate adaptive rescue to camouflage mismatch under climate change.",NOV,2020,194,3,301,310,,10.1007/s00442-020-04680-2,http://dx.doi.org/10.1007/s00442-020-04680-2,JUN 2020,View Full Record in Web of Science
J,"Ferreira, MS; Alves, PC; Callahan, CM; Marques, JP; Mills, LS; Good, JM; Melo-Ferreira, J","Ferreira, Mafalda S.; Alves, Paulo C.; Callahan, Colin M.; Marques, Joao P.; Mills, L. Scott; Good, Jeffrey M.; Melo-Ferreira, Jose",The transcriptional landscape of seasonal coat colour moult in the snowshoe hare,MOLECULAR ECOLOGY,climate change; gene expression; Lepus americanus; RNA sequencing; seasonal coat colour change,DIFFERENTIAL EXPRESSION ANALYSIS; HAIR FOLLICLE; GENE-EXPRESSION; CLIMATE-CHANGE; PELAGE COLOR; RNA-SEQ; SIBERIAN HAMSTERS; TELOGEN; AGOUTI; IDENTIFICATION,"Seasonal coat colour change is an important adaptation to seasonally changing environments but the evolution of this and other circannual traits remains poorly understood. In this study, we use gene expression to understand seasonal coat colour moulting in wild snowshoe hares (Lepus americanus). We used hair colour to follow the progression of the moult, simultaneously sampling skin from three moulting stages in hares collected during the peak of the spring moult from white winter to brown summer pelage. Using RNA sequencing, we tested whether patterns of expression were consistent with predictions based on the established phases of the hair growth cycle. We found functionally consistent clustering across skin types, with 766 genes differentially expressed between moult stages. White pelage showed more differentially expressed genes that were upregulated relative to other skin types, involved in the transition between late telogen (quiescent stage) and the onset of anagen (proliferative stage). Skin samples from transitional intermediate and brown pelage were transcriptionally similar and resembled the regressive transition to catagen (regressive stage). We also detected differential expression of several key circadian clock and pigmentation genes, providing important means to dissect the bases of alternate seasonal colour morphs. Our results reveal that pelage colour is a useful biomarker for seasonal change but that there is a consistent lag between the main gene expression waves and change in visible coat colour. These experiments establish that developmental sampling from natural populations of non-model organisms can provide a crucial resource to dissect the genetic basis and evolution of complex seasonally changing traits.",AUG,2017,26,16,4173,4185,,10.1111/mec.14177,http://dx.doi.org/10.1111/mec.14177,,View Full Record in Web of Science
J,"Stokes, AW; Hofmeester, TR; Thorsen, NH; Odden, J; Linnell, JDC; Pedersen, S","Stokes, Allan W.; Hofmeester, Tim R.; Thorsen, Neri H.; Odden, John; Linnell, John D. C.; Pedersen, Simen","Altitude, latitude and climate zone as determinants of mountain hare (Lepus timidus) coat colour change",ECOLOGY AND EVOLUTION,lagomorph; moult; phenology; phenotypic trait; subarctic,TEMPERATURE; MECHANISMS; EVOLUTION; RESPONSES; SCOTICUS; MODELS,"Local adaptation to annually changing environments has evolved in numerous species. Seasonal coat colour change is an adaptation that has evolved in multiple mammal and bird species occupying areas that experience seasonal snow cover. It has a critical impact on fitness as predation risk may increase when an individual is mismatched against its habitat's background colour. In this paper, we investigate the correlation between landscape covariates and moult timing in a native winter-adapted herbivore, the mountain hare (Lepus timidus), throughout Norway. Data was collected between 2011 and 2019 at 678 camera trap locations deployed across an environmental gradient. Based on this data, we created a Bayesian multinomial logistic regression model that quantified the correlations between landscape covariates and coat colour phenology and analysed among season and year moult timing variation. Our results demonstrate that mountain hare moult timing is strongly correlated with altitude and latitude with hares that live at higher latitudes and altitudes keeping their winter white coats for longer than their conspecifics that inhabit lower latitudes and altitudes. Moult timing was also weakly correlated with climate zone with hares that live in coastal climates keeping their winter white coats for longer than hares that live in continental climates. We found evidence of some among year moult timing variation in spring, but not in autumn. We conclude that mountain hare moult timing has adapted to local environmental conditions throughout Norway.",OCT,2023,13,10,,,e10548,10.1002/ece3.10548,http://dx.doi.org/10.1002/ece3.10548,,View Full Record in Web of Science
