study,species,year,site,latitude,elevation,moult_stage,spring,spring_se,fall,fall_se
1,Snowshoe hares (Lepus americanus),2010,Gardiner,45.08,2550,start,,,275,2.551020408
1,Snowshoe hares (Lepus americanus),2010,Gardiner,45.08,2550,end,,,311,2.551020408
1,Snowshoe hares (Lepus americanus),2011,Gardiner,45.08,2550,start,134,2.040816327,269,2.040816327
,Snowshoe hares (Lepus americanus),2011,Gardiner,45.08,2550,end,185,2.040816327,310,2.040816327
1,Snowshoe hares (Lepus americanus),2012,Gardiner,45.08,2550,start,124,2.551020408,,
,Snowshoe hares (Lepus americanus),2012,Gardiner,45.08,2550,end,167,2.295918367,,
2,Snowshoe hares (Lepus americanus),2011,Canada,51.38,1850.98,start,,,287,3.316326531
,Snowshoe hares (Lepus americanus),2011,Canada,51.38,1850.98,end,,,318,3.31632653
2,Snowshoe hares (Lepus americanus),2012,Canada,51.38,1850.98,start,102,4.336734694,284,2.806122449
,Snowshoe hares (Lepus americanus),2012,Canada,51.38,1850.98,end,156,3.06122449,317,4.081632653
2,Snowshoe hares (Lepus americanus),2013,Canada,51.38,1850.98,start,97,4.591836735,286,2.806122449
,Snowshoe hares (Lepus americanus),2013,Canada,51.38,1850.98,end,143,3.316326531,315,2.806122449
2,Snowshoe hares (Lepus americanus),2014,Canada,51.38,1850.98,start,103,3.316326531,288,2.295918367
,Snowshoe hares (Lepus americanus),2014,Canada,51.38,1850.98,end,148,2.295918367,318,3.06122449
2,Snowshoe hares (Lepus americanus),2015,Canada,51.38,1850.98,start,90,3.06122449,283,2.551020408
,Snowshoe hares (Lepus americanus),2015,Canada,51.38,1850.98,end,136,3.06122449,316,3.06122449
2,Snowshoe hares (Lepus americanus),2016,Canada,51.38,1850.98,start,92,3.826530612,291,4.591836735
,Snowshoe hares (Lepus americanus),2016,Canada,51.38,1850.98,end,128,3.316326531,,
2,Snowshoe hares (Lepus americanus),2010,Colorado,37.63,3200,start,,,277,3.316326531
,Snowshoe hares (Lepus americanus),2010,Colorado,37.63,3200,end,,,321,3.826530612
2,Snowshoe hares (Lepus americanus),2011,Colorado,37.63,3200,start,110,1.275510204,,
,Snowshoe hares (Lepus americanus),2011,Colorado,37.63,3200,end,152,2.295918367,,
