study,species,year,site,latitude,elevation,ss_temp,sc_temp,fs_temp,fc_temp,spring_start,ss_se,spring_comp,sc_se,fall_start,fs_se,fall_comp,fc_se
1,Snowshoe hares (Lepus americanus),2010,Gardiner,45.08,2550,,,25,11.67,,,,,275,2.551020408,311,2.551020408
1,Snowshoe hares (Lepus americanus),2011,Gardiner,45.08,2550,8.33,25,21.67,-4.44,134,2.040816327,185,2.040816327,269,2.040816327,310,2.040816327
1,Snowshoe hares (Lepus americanus),2012,Gardiner,45.08,2550,18.89,18.33,,,124,2.551020408,167,2.295918367,,,,
2,Snowshoe hares (Lepus americanus),2011,Canada,51.38,1850.98,,,12.22,8.89,,,,,287,3.316326531,318,3.316326531
2,Snowshoe hares (Lepus americanus),2012,Canada,51.38,1850.98,11.67,11.11,10,10,102,4.336734694,156,3.06122449,284,2.806122449,317,4.081632653
2,Snowshoe hares (Lepus americanus),2013,Canada,51.38,1850.98,10,13.89,13.33,12.22,97,4.591836735,143,3.316326531,286,2.806122449,315,2.806122449
2,Snowshoe hares (Lepus americanus),2014,Canada,51.38,1850.98,13.33,17.78,11.67,6.67,103,3.316326531,148,2.295918367,288,2.295918367,318,3.06122449
2,Snowshoe hares (Lepus americanus),2015,Canada,51.38,1850.98,4.5,16.11,13.89,9.44,90,3.06122449,136,3.06122449,283,2.551020408,316,3.06122449
2,Snowshoe hares (Lepus americanus),2016,Canada,51.38,1850.98,11.67,21.11,12.78,,92,3.826530612,128,3.316326531,291,4.591836735,,
2,Snowshoe hares (Lepus americanus),2010,Colorado,37.63,3200,,,27.22,2.22,,,,,277,3.316326531,321,3.826530612
2,Snowshoe hares (Lepus americanus),2011,Colorado,37.63,3200,11.67,29.44,,,110,1.275510204,152,2.295918367,,,,
2,Snowshoe hares (Lepus americanus),2014,Colorado,37.63,3200,,,11.11,12.22,,,,,287,3.571428571,325,3.571428571
2,Snowshoe hares (Lepus americanus),2015,Colorado,37.63,3200,9.44,21.11,11.11,10.56,108,2.040816327,148,3.06122449,289,4.846938776,324,3.571428571
2,Snowshoe hares (Lepus americanus),2016,Colorado,37.63,3200,16.67,24.44,,,111,1.275510204,156,2.806122449,,,,
2,Snowshoe hares (Lepus americanus),2017,Colorado,37.63,3200,23.33,23.33,,,107,1.785714286,154,2.551020408,,,,
2,Snowshoe hares (Lepus americanus),2014,New England,44.54,627.18,0.56,22.78,6.11,-1.67,87,2.040816327,138,2.806122449,297,4.336734694,342,4.081632653
2,Snowshoe hares (Lepus americanus),2015,New England,44.54,627.18,8.33,11.67,7.22,-6.11,93,2.806122449,137,2.040816327,302,4.336734694,351,3.571428571
2,Snowshoe hares (Lepus americanus),2016,New England,44.54,627.18,-1.11,28.89,16.11,-11.67,77,2.551020408,126,2.295918367,306,3.316326531,348,1.530612245
2,Snowshoe hares (Lepus americanus),2017,New England,44.54,627.18,7.78,20,13.89,3.89,79,2.295918367,135,2.040816327,301,4.846938776,345,3.06122449
3,Snowshoe hares (Lepus americanus),2019,Isle Royal,47.122,,6.11,16.11,16.11,-4.44,78,12.5,109,1.785714286,293,1.275510204,332,1.785714286
