ID,Mother,BirthYear,Sex,BirthWt
321,397,1974,2,8.109999809
388,396,1974,1,6.080000191
483,537,1974,1,3.039999809
513,2079,1974,2,8.92
645,647,1974,2,5.979999905
806,398,1974,2,9.070000381
861,866,1974,1,5.609999809
1056,1063,1974,1,6.080000191
1171,1163,1974,1,7.479999809
2082,2084,1974,1,7.654999809
2335,2338,1974,1,5.325000095
2408,2410,1974,2,6.575000191
2781,594,1974,1,5.540000095
2943,1168,1974,2,6.554999905
2968,2977,1974,2,6.96
3055,3060,1974,1,7.319999619
3138,3408,1974,2,7.675000095
3382,3407,1974,1,7.519999809
3427,3409,1974,2,8.019999809
3455,5247,1974,1,6.260000191
3524,3526,1974,1,7.47
3607,592,1974,2,8.080000191
3918,4893,1974,2,6.620000191
3965,3973,1974,2,6.440000191
4179,4187,1974,1,9.140000191
4203,4211,1974,2,8.525000381
4282,4286,1974,1,7.855000095
4651,4652,1974,2,6.080000191
4919,4894,1974,2,5.355000095
5121,5126,1974,1,6.340000095
5251,5255,1974,1,6.28
5297,4200,1974,2,7.455
5689,2402,1974,1,8.139999809
256,5248,1975,2,6.959999619
322,397,1975,2,8.56
341,347,1975,1,7.119999809
389,396,1975,1,7.119999809
402,405,1975,1,7.075000191
570,3286,1975,2,6.509999905
598,600,1975,1,6.740000191
862,866,1975,1,5.250000095
909,915,1975,1,6.725000191
1057,1063,1975,1,2.840000048
1107,1109,1975,1,8.580000191
1172,1163,1975,2,8.575000191
2083,2084,1975,1,6.940000191
2123,593,1975,2,5.049999809
2173,3380,1975,2,5.870000095
2336,2338,1975,1,6.979999809
2409,2410,1975,2,4.100000095
2782,594,1975,1,5.810000095
2969,2977,1975,1,5.169999809
3056,3060,1975,2,5.860000191
3270,5687,1975,1,6.840000095
3401,3407,1975,1,6.94
3456,5247,1975,2,6.250000095
3608,592,1975,2,6.710000191
3714,3724,1975,2,8.294999619
3725,3712,1975,2,6.310000095
4180,4187,1975,2,7.32
4524,3396,1975,1,4.82
