"ID","Sire","Dam"
"131",NA,NA
"157",NA,NA
"171",NA,NA
"272",NA,NA
"347",NA,NA
"362",NA,NA
"405",NA,NA
"406",NA,NA
"452",NA,NA
"498",NA,NA
"533",NA,NA
"540",NA,NA
"541",NA,NA
"542",NA,NA
"600",NA,NA
"633",NA,NA
"647",NA,NA
"736",NA,NA
"866",NA,NA
"915",NA,NA
"1046",NA,NA
"1072",NA,NA
"1092",NA,NA
"1109",NA,NA
"1163",NA,NA
"1178",NA,NA
"1490",NA,NA
"1498",NA,NA
"1551",NA,NA
"1553",NA,NA
"1554",NA,NA
"1557",NA,NA
"1562",NA,NA
"1572",NA,NA
"1578",NA,NA
"1580",NA,NA
"1587",NA,NA
"1652",NA,NA
"1657",NA,NA
"1666",NA,NA
"1669",NA,NA
"1670",NA,NA
"1671",NA,NA
"1672",NA,NA
"1673",NA,NA
"1674",NA,NA
"1675",NA,NA
"1677",NA,NA
"1679",NA,NA
"1680",NA,NA
"1682",NA,NA
"1685",NA,NA
"1686",NA,NA
"1687",NA,NA
"1688",NA,NA
"1689",NA,NA
"1692",NA,NA
"1693",NA,NA
"1694",NA,NA
"1698",NA,NA
"1699",NA,NA
"1700",NA,NA
"1703",NA,NA
"1704",NA,NA
"1706",NA,NA
"1707",NA,NA
"1708",NA,NA
"1711",NA,NA
"1712",NA,NA
"1713",NA,NA
"1714",NA,NA
"1716",NA,NA
"1717",NA,NA
"1718",NA,NA
"1719",NA,NA
"1723",NA,NA
"1724",NA,NA
"1742",NA,NA
"1745",NA,NA
"1746",NA,NA
"1747",NA,NA
"1748",NA,NA
"1750",NA,NA
"1751",NA,NA
"1752",NA,NA
"1753",NA,NA
"1754",NA,NA
"1756",NA,NA
"1757",NA,NA
"1759",NA,NA
"1761",NA,NA
"1990",NA,NA
"1996",NA,NA
"2020",NA,NA
"2084",NA,NA
"2147",NA,NA
"2338",NA,NA
"2410",NA,NA
"2417",NA,NA
"2444",NA,NA
"2478",NA,NA
"2487",NA,NA
"2599",NA,NA
"2899",NA,NA
"2948",NA,NA
"2949",NA,NA
"2977",NA,NA
"3022",NA,NA
"3060",NA,NA
"3189",NA,NA
"3290",NA,NA
"3373",NA,NA
"3405",NA,NA
"3415",NA,NA
"3453",NA,NA
"3526",NA,NA
"3599",NA,NA
"3629",NA,NA
"3883",NA,NA
"3924",NA,NA
"4187",NA,NA
"4211",NA,NA
"4256",NA,NA
"4286",NA,NA
"4321",NA,NA
"4357",NA,NA
"4447",NA,NA
"4498",NA,NA
"4514",NA,NA
"4652",NA,NA
"4666",NA,NA
"4766",NA,NA
"4909",NA,NA
"4916",NA,NA
"4972",NA,NA
"5081",NA,NA
"5110",NA,NA
"5126",NA,NA
"5174",NA,NA
"5255",NA,NA
"5268",NA,NA
"5421",NA,NA
"5677",NA,NA
"5680",NA,NA
"5714",NA,NA
"5725",NA,NA
"125",NA,"131"
"126",NA,"131"
"223","2417",NA
"341",NA,"347"
"343",NA,"347"
"396","1178",NA
"397",NA,"405"
"399",NA,"405"
"403",NA,"405"
"404",NA,"405"
"462",NA,"4916"
"475","1178",NA
"536",NA,"541"
"592",NA,"600"
"598",NA,"600"
"645",NA,"647"
"861",NA,"866"
"863",NA,"866"
"864",NA,"866"
"865",NA,"866"
"908",NA,"915"
"909",NA,"915"
"913",NA,"915"
"914",NA,"915"
"983","171",NA
"1040",NA,"1046"
"1070",NA,"1498"
"1107",NA,"1109"
"1108",NA,"1109"
"1110","5110",NA
"1168",NA,"1163"
"1171",NA,"1163"
